date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:30	96612/96612	---MCZ	200	added ('OK')	text/html	etag:W/%2217964-5c96f82872100%22	https://jobick.dexignlab.com/xhtml/index.html	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/index.html	(from )
20:51:31	238/238	---M--	302	error ('Found')	text/html	date:Wed,%2006%20Apr%202022%2019:51:32%20GMT	https://jobick.dexignlab.com/robots.txt		(from )
20:51:31	42279/42279	---M--	200	added ('OK')	image/png	etag:%22a527-5c95ad40fa52e%22	https://jobick.dexignlab.com/xhtml/social-image.png	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/social-image.png	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:32	3320/3320	---M--	200	added ('OK')	image/png	etag:%22cf8-5c7ce1b9cbb00%22	https://jobick.dexignlab.com/xhtml/images/favicon.png	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/images/favicon.png	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:32	4048/4048	---MCZ	200	added ('OK')	text/css	etag:W/%22fd0-5c3dc0d3ee380%22	https://jobick.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/vendor/jquery-nice-select/css/nice-select.css	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:32	3506/3506	---MCZ	200	added ('OK')	text/css	etag:W/%22db2-56e9b0fd29b00%22	https://jobick.dexignlab.com/xhtml/vendor/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/vendor/owl-carousel/owl.carousel.css	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:33	6030/6030	---M--	200	added ('OK')	image/jpeg	etag:%22178e-5c429016a4c00%22	https://jobick.dexignlab.com/xhtml/images/avatar/1.jpg	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/images/avatar/1.jpg	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:33	9090/9090	---M--	200	added ('OK')	image/jpeg	etag:%222382-5c429016a4c00%22	https://jobick.dexignlab.com/xhtml/images/avatar/2.jpg	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/images/avatar/2.jpg	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:34	1073841/1073841	---MCZ	200	added ('OK')	text/css	etag:W/%221062b1-5d31a9a7767f6%22	https://jobick.dexignlab.com/xhtml/css/style.css	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/css/style.css	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:34	8584/8584	---M--	200	added ('OK')	image/jpeg	etag:%222188-5c429016a4c00%22	https://jobick.dexignlab.com/xhtml/images/avatar/3.jpg	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/images/avatar/3.jpg	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:34	7438/7438	---M--	200	added ('OK')	image/jpeg	etag:%221d0e-5c429016a4c00%22	https://jobick.dexignlab.com/xhtml/images/avatar/4.jpg	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/images/avatar/4.jpg	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:34	9855/9855	---M--	200	added ('OK')	image/jpeg	etag:%22267f-5c429016a4c00%22	https://jobick.dexignlab.com/xhtml/images/avatar/5.jpg	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/images/avatar/5.jpg	(from https://jobick.dexignlab.com/xhtml/index.html)
20:51:35	60879/60879	---M--	200	added ('OK')	image/jpeg	etag:%22edcf-5c72a8a09b880%22	https://jobick.dexignlab.com/xhtml/images/profile/pic1.jpg	C:/My%20Web%20Sites/dashboard2/jobick.dexignlab.com/xhtml/images/profile/pic1.jpg	(from https://jobick.dexignlab.com/xhtml/index.html)
